id,category,name,desc,alias,waste,kcal,kcal_adj,water,protein,fat,satfat,carb,fiber,sugar,sodium,vitA,vitC,potassium,calcium,magnesium,iron,zinc
E3201204,蔬菜類,青江菜(土植)(7月取樣),樣品狀態:生; 前處理描述:混合均勻打碎,"江門白菜,湯匙菜,青梗白菜",16.0,14.8163,12.4403,95.13,1.507,0.118,,2.5334,1.2505,,92.3846,,0.224,107.5499,94.5431,12.8587,0.7968,0.283
E3201205,蔬菜類,青江菜(土植)(10月取樣),樣品狀態:生; 前處理描述:混合均勻打碎,"江門白菜, 湯匙菜,青梗白菜",4.1,18.1348,15.1659,93.97,1.701,0.07,0.0379,3.357,1.5626,0.58,27.676,0.1777,0.13,266.834,112.018,18.614,1.153,0.454
E3201301,蔬菜類,青江菜(水耕)(1月取樣),樣品狀態:生; 前處理描述:混合均勻打碎,"江門白菜 ,湯匙菜,青梗白菜",,12.4853,9.8156,95.73,1.243,0.007,,2.3513,1.4051,,5.659,,0.066,200.272,66.82,25.198,1.6685,0.2368
E3201302,蔬菜類,青江菜(水耕)(4月取樣),樣品狀態:生; 前處理描述:混合均勻打碎,"江門白菜 , 湯匙菜,青梗白菜",,14.3465,11.9323,95.004,1.397,0.16,,2.3967,1.2706,,11.6504,,0.121,376.2009,91.8582,39.3188,0.8298,0.1386
E3201303,蔬菜類,青江菜(水耕)(7月取樣),樣品狀態:生; 前處理描述:混合均勻打碎,"江門白菜 ,湯匙菜,青梗白菜",14.4,13.9288,11.8198,94.827,1.651,0.129,,2.1855,1.11,,12.7177,,0.217,376.5305,92.0161,31.8194,0.709,0.1593
E3201304,蔬菜類,青江菜(水耕)(10月取樣),樣品狀態:生; 前處理描述:混合均勻打碎,"江門白菜 ,湯匙菜,青梗白菜",,10.943,7.4202,96.02,1.371,0.22,0.0227,1.4127,1.8541,,14.3,,0.0791,307.68,104.34,35.92,1.324,0.473
E3201401,蔬菜類,青江菜(有機)(1月取樣),樣品狀態:生; 前處理描述:混合均勻打碎,"江門白菜,湯匙菜,青梗白菜",,9.8742,7.3326,96.07,1.531,0.003,,1.4969,1.3377,,37.815,,0.096,180.232,104.387,14.376,1.6444,0.4939
E3201402,蔬菜類,青江菜(有機)(4月取樣),樣品狀態:生; 前處理描述:混合均勻打碎,"江門白菜 ,湯匙菜,青梗白菜",,14.8681,12.6151,94.866,1.382,0.176,,2.5062,1.1858,,40.083,,0.165,279.1989,143.0383,21.5008,0.8033,0.3421
E3201403,蔬菜類,青江菜(有機)(7月取樣),樣品狀態:生; 前處理描述:混合均勻打碎,"江門白菜 ,湯匙菜,青梗白菜",14.9,20.6762,17.1262,93.139,1.944,0.243,,3.4741,1.8684,,22.3153,,0.311,360.0771,141.8303,19.9895,0.9659,0.3457
E3201404,蔬菜類,青江菜(有機)(10月取樣),樣品狀態:生; 前處理描述:混合均勻打碎,"江門白菜 , 湯匙菜,青梗白菜",10.4,15.4033,12.5405,94.62,1.64,0.05,0.0235,2.7405,1.5067,0.505,23.076,0.194,0.13,271.304,93.213,19.415,1.056,0.464
